case_id,N_st,n_x,n_y,l_x_mm,l_y_mm,C_G1_Corner_b,C_G1_Edge_b,C_G1_Interior_b,B_G1_Edge_b,B_G1_Edge_h,B_G1_Interior_b,B_G1_Interior_h,C_G2_Corner_b,C_G2_Edge_b,C_G2_Interior_b,B_G2_Edge_b,B_G2_Edge_h,B_G2_Interior_b,B_G2_Interior_h,C_G3_Corner_b,C_G3_Edge_b,C_G3_Interior_b,B_G3_Edge_b,B_G3_Edge_h,B_G3_Interior_b,B_G3_Interior_h
3000,8,8,4,4800,3600,600,600,600,200,500,200,500,600,600,600,200,500,200,500,600,600,600,200,400,200,500
3001,8,7,5,4800,3600,700,700,700,300,500,300,500,700,700,700,150,400,150,400,700,700,700,150,400,150,400
3002,7,8,5,6000,5400,600,600,600,150,450,150,450,600,600,600,150,450,150,450,600,600,600,150,450,150,450
3003,7,6,3,6000,4800,400,400,400,150,450,350,650,400,400,400,150,450,350,650,400,400,400,150,450,350,650
3004,7,8,3,4200,3600,600,600,600,250,550,250,550,600,600,600,250,550,250,550,600,600,600,250,550,250,550
3005,10,5,3,4800,6000,700,700,700,200,400,200,400,550,700,700,150,400,200,400,550,600,600,150,400,150,400
3006,6,5,3,6000,7200,650,650,650,250,650,350,650,650,650,650,250,650,350,650,650,650,650,250,650,350,650
3007,9,7,3,3600,5400,650,650,650,250,450,250,450,650,650,650,150,400,150,400,650,650,650,150,400,150,400
3008,10,10,3,6000,6000,650,650,650,350,700,350,700,650,650,650,250,700,250,700,650,650,650,250,700,250,700
3009,7,10,5,5400,6000,400,400,750,300,800,300,800,400,400,600,250,400,250,450,400,400,600,250,400,250,450
3010,7,7,5,6600,3600,650,650,650,300,750,300,750,650,650,650,300,750,300,750,650,650,650,200,550,200,550
3011,9,5,3,7200,4200,450,450,450,200,400,200,600,400,400,450,200,400,200,600,400,400,450,200,400,200,600
3012,9,6,4,3600,4800,450,450,450,150,400,150,450,450,450,450,150,400,150,450,450,450,450,150,400,150,450
3013,10,8,3,6000,6000,600,600,600,250,550,250,550,600,600,600,250,550,250,550,600,600,600,150,400,150,400
3014,7,5,3,5400,7200,600,600,600,300,750,300,750,600,600,600,300,750,300,750,600,600,600,300,750,300,750
3015,8,7,3,5400,6600,500,500,800,400,750,400,750,500,500,800,400,750,400,750,500,500,800,400,750,400,750
3016,7,9,3,5400,6600,500,500,500,200,450,250,750,400,450,450,200,450,250,750,400,450,450,200,400,250,750
3017,7,10,4,5400,7200,400,650,650,250,650,250,650,400,650,650,250,650,250,650,400,400,400,250,650,250,650
3018,7,6,5,6600,4800,450,450,550,200,600,200,600,450,450,550,200,600,200,600,450,450,550,150,450,200,600
3019,7,8,5,6000,3600,500,500,500,350,600,350,600,450,450,500,350,600,350,600,450,450,500,350,600,350,600
3020,7,9,5,7200,6000,500,600,600,350,550,350,550,450,450,450,350,550,350,550,400,400,450,250,500,350,550
3021,6,9,3,4800,3600,400,400,450,200,450,200,450,400,400,450,200,450,200,450,400,400,450,200,450,200,450
3022,7,9,5,6000,5400,550,550,550,350,600,350,600,500,550,550,350,600,350,600,500,550,550,350,600,350,600
3023,10,8,3,4800,6600,600,600,600,200,500,200,500,600,600,600,150,400,200,500,600,600,600,150,400,150,450
3024,8,5,3,4800,5400,450,500,500,300,800,300,800,400,500,500,150,400,150,400,400,500,500,150,400,150,400
3025,6,7,3,4200,3600,700,700,700,300,750,300,750,700,700,700,300,750,300,750,500,500,500,300,750,300,750
3026,9,5,3,4800,6000,400,400,400,300,800,300,800,400,400,400,150,450,150,450,400,400,400,150,450,150,450
3027,8,6,3,4200,7200,400,400,550,200,450,200,450,400,400,550,200,450,200,450,400,400,550,200,450,200,450
3028,7,7,5,6000,7200,550,550,650,400,750,400,750,550,550,650,400,750,400,750,550,550,650,400,750,400,750
3029,7,8,3,5400,6000,550,650,650,200,400,250,700,550,650,650,200,400,250,700,550,650,650,200,400,250,700
3030,7,8,4,3600,3600,800,800,800,250,500,250,500,600,800,800,250,500,250,500,600,800,800,250,500,250,500
3031,6,10,5,4200,6600,700,750,750,300,650,300,650,700,750,750,300,650,300,650,700,750,750,250,400,250,400
3032,7,6,4,4200,6600,550,600,700,350,550,350,550,550,600,700,250,400,350,550,450,450,450,250,400,350,550
3033,8,7,4,5400,3600,750,750,750,250,750,250,750,400,750,750,250,750,250,750,400,750,750,150,450,250,750
3034,8,5,5,7200,7200,700,700,700,400,700,400,700,700,700,700,150,400,150,400,700,700,700,150,400,150,400
3035,10,9,4,6600,4200,750,750,750,200,400,250,650,750,750,750,200,400,250,650,750,750,750,200,400,250,650
3036,7,6,5,5400,6000,700,700,700,200,500,200,500,700,700,700,150,400,150,400,650,650,650,150,400,150,400
3037,8,6,3,4800,6000,400,400,400,200,500,200,500,400,400,400,200,400,200,500,400,400,400,150,400,150,450
3038,7,5,4,6600,4200,500,500,500,350,750,350,750,500,500,500,150,400,150,400,500,500,500,150,400,150,400
3039,6,10,5,7200,4800,600,600,600,350,800,350,800,600,600,600,350,800,350,800,600,600,600,350,800,350,800
3040,8,5,3,4800,6000,400,450,450,150,450,150,450,400,450,450,150,400,150,450,400,450,450,150,400,150,450
3041,6,5,4,7200,7200,400,400,400,150,450,150,450,400,400,400,150,450,150,450,400,400,400,150,450,150,450
3042,7,7,4,6000,4800,600,600,600,400,650,400,650,550,550,600,150,400,150,400,550,550,600,150,400,150,400
3043,7,8,5,3600,7200,650,650,650,300,450,300,450,650,650,650,300,450,300,450,650,650,650,300,450,300,450
3044,7,10,4,5400,4800,450,450,450,250,550,250,550,450,450,450,150,400,250,550,450,450,450,150,400,150,450
3045,9,6,3,4200,6600,400,400,400,350,550,350,550,400,400,400,150,400,350,550,400,400,400,150,400,200,400
3046,9,5,5,7200,3600,800,800,800,300,800,300,800,800,800,800,300,800,300,800,800,800,800,300,800,300,800
3047,6,9,4,7200,4800,400,400,400,350,600,350,650,400,400,400,350,600,350,650,400,400,400,350,600,350,650
3048,8,5,4,6000,3600,400,450,450,300,750,300,750,400,400,450,300,750,300,750,400,400,450,300,750,300,750
3049,6,5,3,4800,6000,400,400,400,200,400,200,400,400,400,400,200,400,200,400,400,400,400,200,400,200,400
3050,8,7,3,4200,6000,400,500,500,150,400,200,450,400,500,500,150,400,200,450,400,500,500,150,400,200,450
3051,7,8,5,6000,7200,550,550,550,200,600,200,600,550,550,550,200,600,200,600,550,550,550,200,600,200,600
3052,9,9,5,5400,3600,800,800,800,350,550,350,550,800,800,800,350,550,350,550,800,800,800,150,400,150,400
3053,6,5,4,6000,6600,500,500,500,300,800,300,800,400,400,400,300,800,300,800,400,400,400,150,450,150,450
3054,8,10,5,6000,5400,450,450,450,150,450,150,450,450,450,450,150,450,150,450,450,450,450,150,450,150,450
3055,7,8,4,6600,3600,800,800,800,250,700,250,700,800,800,800,250,400,250,400,800,800,800,150,400,150,400
3056,6,6,3,6000,4200,500,500,500,400,750,400,750,500,500,500,400,750,400,750,500,500,500,400,750,400,750
3057,7,5,5,3600,7200,550,550,550,250,700,250,700,550,550,550,250,700,250,700,550,550,550,250,700,250,700
3058,7,7,3,5400,4200,650,650,650,300,500,300,500,650,650,650,300,500,300,500,650,650,650,150,400,150,400
3059,9,6,4,4800,5400,450,450,450,250,550,250,550,450,450,450,250,400,250,550,450,450,450,250,400,250,550
3060,10,8,3,6600,7200,700,700,700,300,550,300,550,450,700,700,300,550,300,550,450,700,700,150,400,300,550
3061,9,6,4,4800,5400,700,700,700,250,650,250,650,600,700,700,250,650,250,650,600,650,700,150,400,250,650
3062,10,8,5,6000,5400,700,700,700,250,750,250,750,700,700,700,200,500,250,750,700,700,700,200,500,250,750
3063,9,5,5,6000,3600,400,400,400,300,700,300,700,400,400,400,300,700,300,700,400,400,400,300,700,300,700
3064,9,7,3,4200,6600,450,450,450,200,400,200,500,450,450,450,200,400,200,500,450,450,450,200,400,200,400
3065,9,9,4,6600,4800,500,500,500,250,500,250,500,500,500,500,150,450,150,450,500,500,500,150,450,150,450
3066,8,8,5,6000,6600,400,400,400,150,400,150,400,400,400,400,150,400,150,400,400,400,400,150,400,150,400
3067,8,6,5,7200,6600,450,450,600,350,550,350,550,450,450,600,350,550,350,550,450,450,600,350,550,350,550
3068,8,10,5,4200,4800,700,700,700,200,400,200,400,700,700,700,200,400,200,400,700,700,700,200,400,200,400
3069,6,5,5,6000,3600,450,450,450,250,400,250,400,450,450,450,150,400,250,400,450,450,450,150,400,250,400
3070,9,8,4,7200,6000,650,650,650,300,500,300,500,650,650,650,300,500,300,500,400,650,650,150,400,300,500
3071,10,8,3,6600,4200,500,500,500,150,400,150,400,500,500,500,150,400,150,400,500,500,500,150,400,150,400
3072,8,9,3,6600,7200,400,400,400,250,750,250,750,400,400,400,250,750,250,750,400,400,400,250,750,250,750
3073,8,7,4,6600,4800,600,600,600,200,400,200,400,500,600,600,200,400,200,400,500,600,600,200,400,200,400
3074,6,6,5,4800,4200,650,650,650,250,650,250,650,650,650,650,150,400,250,650,450,450,650,150,400,200,450
3075,7,9,5,7200,6000,750,750,750,300,750,300,750,750,750,750,300,750,300,750,750,750,750,200,400,300,750
3076,10,8,5,3600,6000,400,400,400,250,450,250,650,400,400,400,200,400,200,400,400,400,400,150,400,200,400
3077,9,7,4,6000,6000,400,400,400,200,550,200,550,400,400,400,200,450,200,550,400,400,400,200,450,200,550
3078,9,6,4,3600,6000,450,450,450,400,650,400,650,400,400,450,250,500,400,650,400,400,400,250,500,400,650
3079,8,9,3,6000,4200,800,800,800,300,450,300,450,800,800,800,150,450,300,450,800,800,800,150,400,300,450
3080,8,9,3,5400,4200,550,550,550,200,450,200,550,550,550,550,200,450,200,550,550,550,550,200,450,200,550
3081,6,10,5,4200,4800,450,450,550,300,800,300,800,450,450,550,300,800,300,800,450,450,550,300,800,300,800
