case_id,N_st,n_x,n_y,l_x_mm,l_y_mm,C_G1_Corner_b,C_G1_Edge_b,C_G1_Interior_b,B_G1_Edge_b,B_G1_Edge_h,B_G1_Interior_b,B_G1_Interior_h,C_G2_Corner_b,C_G2_Edge_b,C_G2_Interior_b,B_G2_Edge_b,B_G2_Edge_h,B_G2_Interior_b,B_G2_Interior_h,C_G3_Corner_b,C_G3_Edge_b,C_G3_Interior_b,B_G3_Edge_b,B_G3_Edge_h,B_G3_Interior_b,B_G3_Interior_h
7000,6,7,4,3600,4800,800,800,800,300,600,300,600,800,800,800,300,600,300,600,800,800,800,250,400,300,600
7001,9,10,5,6000,4200,450,450,450,400,700,400,700,400,450,450,150,400,300,650,400,450,450,150,400,200,550
7002,8,10,5,3600,5400,650,650,650,350,700,350,700,650,650,650,200,450,350,700,650,650,650,200,450,350,700
7003,8,5,5,7200,6600,450,450,450,400,600,400,600,450,450,450,400,600,400,600,400,400,400,400,600,400,600
7004,8,8,5,6600,6000,800,800,800,150,400,150,450,800,800,800,150,400,150,450,800,800,800,150,400,150,450
7005,6,8,5,4200,4800,450,700,700,250,400,250,400,450,700,700,250,400,250,400,450,700,700,250,400,250,400
7006,7,9,5,4800,4800,550,550,550,300,750,300,750,550,550,550,150,400,250,400,550,550,550,150,400,250,400
7007,7,7,5,4800,3600,500,500,500,400,700,400,700,500,500,500,400,700,400,700,500,500,500,400,700,400,700
7008,7,5,5,6600,3600,800,800,800,250,450,300,750,700,700,700,250,450,300,750,500,700,700,250,450,300,750
7009,9,8,3,5400,6000,400,400,400,150,400,250,650,400,400,400,150,400,150,400,400,400,400,150,400,150,400
7010,10,5,3,3600,4800,400,400,650,150,450,400,750,400,400,650,150,450,200,550,400,400,650,150,450,200,550
7011,10,9,4,4800,4800,550,550,550,400,750,400,750,550,550,550,400,750,400,750,550,550,550,400,750,400,750
7012,9,9,5,5400,6600,750,750,750,150,400,300,500,450,450,450,150,400,300,500,450,450,450,150,400,300,500
7013,6,7,5,5400,6000,600,600,600,300,700,300,700,550,600,600,300,700,300,700,500,500,500,300,700,300,700
7014,9,5,4,4800,5400,450,450,450,350,600,400,700,450,450,450,350,600,400,700,450,450,450,250,550,250,550
7015,7,8,5,5400,7200,400,550,550,250,500,250,500,400,550,550,200,400,250,500,400,550,550,200,400,250,500
7016,9,8,3,7200,5400,400,400,400,200,550,200,550,400,400,400,150,400,150,400,400,400,400,150,400,150,400
7017,10,7,4,4200,4200,700,700,700,200,400,200,450,700,700,700,200,400,200,450,700,700,700,200,400,200,450
7018,7,10,3,3600,7200,700,700,700,300,650,300,650,500,500,500,300,650,300,650,400,400,400,150,400,300,650
7019,9,5,3,3600,4200,600,600,600,200,400,200,500,600,600,600,150,400,150,450,600,600,600,150,400,150,450
7020,8,6,4,4800,4200,500,500,500,250,650,250,650,500,500,500,150,400,150,400,500,500,500,150,400,150,400
7021,7,10,4,4800,6000,750,750,750,250,700,250,700,600,600,750,250,700,250,700,450,450,450,250,700,250,700
7022,9,10,5,6000,3600,400,400,500,300,650,300,650,400,400,500,300,650,300,650,400,400,500,250,650,300,650
7023,6,9,5,5400,4800,500,500,550,250,750,250,750,500,500,550,250,750,250,750,500,500,550,250,750,250,750
7024,6,5,5,4200,4800,450,450,450,300,600,300,600,400,400,450,150,400,150,400,400,400,450,150,400,150,400
7025,8,9,4,4200,3600,750,750,750,150,400,200,500,750,750,750,150,400,200,500,750,750,750,150,400,200,500
7026,9,6,5,4200,6000,700,700,700,250,550,250,550,450,700,700,250,550,250,550,450,700,700,250,400,250,550
7027,8,6,4,5400,6000,700,700,700,150,450,150,450,700,700,700,150,450,150,450,700,700,700,150,450,150,450
7028,7,7,3,4200,4800,400,400,400,250,500,350,800,400,400,400,250,500,350,800,400,400,400,250,500,350,800
7029,10,10,3,6600,4800,750,750,750,250,450,250,450,450,450,450,250,450,250,450,400,400,450,150,400,250,450
7030,10,8,5,3600,5400,800,800,800,250,650,250,650,800,800,800,200,450,250,650,800,800,800,150,450,250,650
7031,10,7,3,7200,4800,450,450,450,200,450,200,450,400,400,400,150,400,200,450,400,400,400,150,400,150,400
7032,10,6,4,5400,5400,450,450,450,350,650,350,650,400,400,450,350,650,350,650,400,400,450,350,550,350,550
7033,8,8,5,6600,6600,550,550,550,200,500,200,500,550,550,550,200,400,200,500,550,550,550,200,400,200,500
7034,8,9,4,3600,6000,400,400,400,350,750,350,750,400,400,400,300,500,300,500,400,400,400,300,500,300,500
7035,8,9,5,4200,7200,550,550,550,350,550,350,550,550,550,550,350,550,350,550,550,550,550,350,550,350,550
7036,6,7,5,6600,3600,500,500,750,250,400,350,600,500,500,750,250,400,350,600,500,500,750,250,400,350,600
7037,9,5,4,5400,4800,750,750,750,200,500,400,750,650,750,750,200,500,400,750,650,750,750,200,500,400,750
7038,8,5,5,7200,3600,400,400,500,300,450,300,450,400,400,500,300,450,300,450,400,400,500,300,450,300,450
7039,7,8,5,6600,6600,600,600,600,300,800,300,800,450,600,600,300,800,300,800,400,600,600,300,800,300,800
7040,6,7,4,4800,3600,750,750,750,150,400,250,400,750,750,750,150,400,250,400,750,750,750,150,400,250,400
7041,7,5,3,3600,3600,800,800,800,150,400,150,400,800,800,800,150,400,150,400,800,800,800,150,400,150,400
7042,6,5,4,7200,5400,750,750,750,150,400,300,500,750,750,750,150,400,200,400,750,750,750,150,400,200,400
7043,9,9,5,5400,4200,800,800,800,350,750,350,750,800,800,800,250,450,350,750,600,600,800,150,400,350,750
7044,7,10,3,6000,7200,500,500,500,400,600,400,600,500,500,500,400,600,400,600,500,500,500,400,600,400,600
7045,7,9,4,7200,7200,800,800,800,300,600,300,600,800,800,800,300,600,300,600,450,800,800,250,400,250,400
7046,6,7,4,4200,6000,550,550,550,300,750,300,750,550,550,550,300,750,300,750,550,550,550,150,400,150,400
7047,7,7,5,3600,6000,400,400,750,250,600,250,600,400,400,750,250,600,250,600,400,400,550,200,550,200,550
7048,6,10,5,6600,6600,500,500,500,300,550,300,550,500,500,500,300,550,300,550,450,450,450,150,450,300,550
7049,6,10,4,4800,3600,400,400,550,250,550,250,550,400,400,400,250,500,250,550,400,400,400,250,500,250,550
7050,8,5,5,4200,4800,650,650,650,250,550,250,550,650,650,650,250,550,250,550,650,650,650,250,550,250,550
7051,9,7,3,6000,3600,550,550,550,300,450,300,450,500,550,550,150,450,150,450,500,550,550,150,450,150,450
7052,10,9,3,3600,6600,400,400,400,400,750,400,750,400,400,400,400,750,400,750,400,400,400,300,500,400,750
7053,7,7,4,6000,6000,650,650,650,300,500,300,500,650,650,650,200,450,300,500,650,650,650,200,450,300,500
7054,9,8,4,6600,3600,450,550,550,200,400,200,400,450,550,550,200,400,200,400,450,550,550,200,400,200,400
