case_id,N_st,n_x,n_y,l_x_mm,l_y_mm,C_G1_Corner_b,C_G1_Edge_b,C_G1_Interior_b,B_G1_Edge_b,B_G1_Edge_h,B_G1_Interior_b,B_G1_Interior_h,C_G2_Corner_b,C_G2_Edge_b,C_G2_Interior_b,B_G2_Edge_b,B_G2_Edge_h,B_G2_Interior_b,B_G2_Interior_h,C_G3_Corner_b,C_G3_Edge_b,C_G3_Interior_b,B_G3_Edge_b,B_G3_Edge_h,B_G3_Interior_b,B_G3_Interior_h
2000,9,9,5,6600,7200,450,450,450,350,650,350,650,450,450,450,350,650,350,650,400,450,450,350,650,350,650
2001,8,5,4,5400,3600,750,750,750,200,400,200,400,750,750,750,200,400,200,400,650,650,750,200,400,200,400
2002,9,10,4,6000,7200,800,800,800,150,400,150,400,400,650,650,150,400,150,400,400,650,650,150,400,150,400
2003,10,9,5,6000,6000,500,500,600,400,650,400,650,500,500,600,400,650,400,650,400,500,600,400,650,400,650
2004,10,10,5,4200,7200,400,400,400,250,400,300,550,400,400,400,250,400,300,550,400,400,400,250,400,300,550
2005,9,8,4,6000,5400,450,450,450,150,450,300,550,400,450,450,150,450,300,550,400,400,450,150,450,300,550
2006,7,8,4,4200,4200,650,650,650,300,550,350,650,400,650,650,200,400,350,650,400,500,550,200,400,350,650
2007,7,6,5,3600,3600,450,450,450,200,500,200,500,450,450,450,200,500,200,500,450,450,450,200,500,200,500
2008,10,5,3,5400,6600,600,600,600,250,600,250,600,600,600,600,200,600,200,600,600,600,600,200,450,200,450
2009,10,6,4,7200,4200,750,750,750,200,600,200,600,750,750,750,200,600,200,600,550,600,750,200,600,200,600
2010,9,5,5,6000,3600,600,600,600,150,400,200,450,600,600,600,150,400,200,450,600,600,600,150,400,200,450
2011,8,5,3,3600,3600,800,800,800,400,700,400,700,650,800,800,400,700,400,700,650,800,800,400,700,400,700
2012,9,9,5,3600,5400,600,600,750,400,800,400,800,400,400,450,400,800,400,800,400,400,450,250,450,250,450
2013,8,6,4,3600,6600,750,750,750,200,400,200,400,750,750,750,200,400,200,400,750,750,750,200,400,200,400
2014,6,8,4,6600,6000,400,400,450,200,400,400,800,400,400,450,150,400,300,500,400,400,450,150,400,300,500
2015,10,5,4,5400,6000,550,550,550,350,650,350,650,450,550,550,250,400,250,400,400,550,550,250,400,250,400
2016,9,7,5,4200,3600,500,500,500,300,500,300,500,400,400,400,300,500,300,500,400,400,400,150,400,300,500
2017,7,7,4,7200,5400,600,600,600,400,750,400,750,600,600,600,400,750,400,750,600,600,600,400,750,400,750
2018,10,6,5,7200,5400,600,600,600,150,400,300,650,600,600,600,150,400,300,650,600,600,600,150,400,300,650
2019,7,7,5,3600,5400,450,450,650,350,550,350,550,450,450,650,350,550,350,550,450,450,650,150,450,150,450
2020,6,8,3,7200,4800,650,650,650,150,450,300,700,650,650,650,150,450,300,700,650,650,650,150,450,300,700
2021,9,8,3,5400,4200,450,450,450,250,700,250,700,450,450,450,250,700,250,700,450,450,450,150,450,150,450
2022,8,6,3,4200,4800,700,700,700,250,750,250,750,700,700,700,250,750,250,750,400,400,400,250,750,250,750
2023,6,7,4,6600,6000,650,650,650,200,400,400,650,650,650,650,200,400,400,650,650,650,650,150,400,400,650
2024,10,8,4,6000,6000,600,700,700,350,650,350,650,400,400,700,350,650,350,650,400,400,700,350,650,350,650
2025,9,5,3,7200,4200,500,500,500,250,650,400,750,400,500,500,250,650,400,750,400,500,500,250,650,400,750
2026,9,6,4,4200,5400,650,650,650,300,600,300,600,650,650,650,300,600,300,600,500,550,650,300,600,300,600
2027,7,8,5,4200,6600,550,550,550,200,500,400,750,550,550,550,200,450,200,450,550,550,550,200,400,200,400
2028,9,8,5,3600,3600,750,750,750,200,500,200,500,600,600,750,200,500,200,500,600,600,750,200,500,200,500
2029,9,9,3,6000,5400,800,800,800,300,650,300,650,800,800,800,150,400,150,400,500,800,800,150,400,150,400
2030,9,7,3,6000,4800,500,500,500,200,550,200,550,500,500,500,150,450,150,450,500,500,500,150,450,150,450
2031,6,8,3,5400,6000,700,700,700,250,600,250,600,700,700,700,250,600,250,600,700,700,700,250,600,250,600
2032,10,8,5,4200,3600,450,450,550,200,400,200,400,450,450,500,200,400,200,400,450,450,500,200,400,200,400
2033,7,6,5,4800,7200,750,750,750,250,600,400,600,750,750,750,250,600,400,600,500,750,750,250,600,400,600
2034,10,8,5,5400,4800,450,450,450,300,800,300,800,400,400,450,300,800,300,800,400,400,400,300,500,300,500
2035,8,5,5,4800,4800,650,650,650,400,700,400,700,400,400,650,400,700,400,700,400,400,650,400,700,400,700
2036,8,10,5,5400,4800,750,750,750,150,400,250,400,400,400,400,150,400,250,400,400,400,400,150,400,150,400
2037,10,6,3,7200,5400,750,750,750,150,400,200,450,750,750,750,150,400,200,400,750,750,750,150,400,200,400
2038,8,8,3,7200,4800,500,500,500,200,400,200,400,500,500,500,200,400,200,400,400,400,400,200,400,200,400
2039,8,10,5,4800,4200,400,400,400,300,650,300,650,400,400,400,300,650,300,650,400,400,400,150,400,150,400
2040,8,6,4,6600,4800,450,450,450,200,400,300,750,450,450,450,150,400,300,600,450,450,450,150,400,300,600
2041,9,9,4,3600,6600,750,750,750,250,700,350,700,750,750,750,250,700,350,700,750,750,750,150,400,350,700
2042,6,8,5,6600,4800,800,800,800,250,600,250,600,400,800,800,250,600,250,600,400,800,800,250,600,250,600
2043,10,7,3,6600,3600,600,600,600,300,800,300,800,600,600,600,250,700,250,700,400,400,600,250,700,250,700
2044,10,8,3,4800,7200,750,750,750,300,800,300,800,400,750,750,300,800,300,800,400,750,750,300,800,300,800
2045,10,6,3,3600,5400,450,450,450,400,700,400,700,450,450,450,200,400,200,400,400,450,450,200,400,200,400
2046,8,6,5,6600,5400,500,500,700,300,700,300,700,500,500,700,300,700,300,700,400,400,700,300,700,300,700
2047,8,8,4,3600,6600,450,450,450,350,550,350,550,400,450,450,350,550,350,550,400,450,450,350,550,350,550
2048,8,5,4,7200,6600,650,650,650,250,450,250,450,650,650,650,250,450,250,450,650,650,650,200,400,200,400
2049,6,10,5,4200,4800,600,600,600,250,500,250,700,450,450,600,250,500,250,700,450,450,600,200,450,250,700
2050,8,8,5,7200,3600,400,400,400,250,500,250,500,400,400,400,250,450,250,450,400,400,400,250,450,250,450
2051,6,8,4,6600,3600,600,600,600,200,550,200,550,400,600,600,200,550,200,550,400,600,600,200,550,200,550
2052,10,8,4,7200,6600,550,550,550,150,400,350,700,550,550,550,150,400,200,450,450,450,500,150,400,200,450
2053,8,10,5,6600,3600,600,600,600,350,650,350,650,600,600,600,150,400,350,650,600,600,600,150,400,350,650
2054,9,8,4,6000,7200,400,400,400,200,400,200,400,400,400,400,200,400,200,400,400,400,400,200,400,200,400
2055,6,6,5,7200,6600,550,550,550,300,650,300,650,550,550,550,300,550,300,550,550,550,550,300,550,300,550
2056,9,10,3,4200,3600,600,600,600,300,750,300,750,600,600,600,200,400,200,400,400,400,600,200,400,200,400
2057,6,6,4,3600,6000,400,400,400,250,450,250,450,400,400,400,250,450,250,450,400,400,400,150,400,150,400
2058,8,6,5,5400,6600,450,500,500,250,700,250,700,450,500,500,250,700,250,700,450,500,500,250,700,250,700
2059,9,10,3,6600,3600,650,650,750,200,600,200,600,650,650,750,150,400,150,400,650,650,750,150,400,150,400
2060,7,10,3,4200,7200,800,800,800,250,450,250,600,400,400,800,250,450,250,600,400,400,800,250,400,250,400
2061,7,6,3,4800,3600,500,500,550,150,450,200,450,500,500,550,150,450,200,450,400,400,550,150,450,200,450
2062,10,6,5,6000,5400,550,550,550,400,700,400,700,550,550,550,150,450,250,450,550,550,550,150,450,250,450
2063,8,10,3,3600,7200,700,700,700,200,500,200,500,700,700,700,150,400,200,450,700,700,700,150,400,200,450
2064,9,9,3,5400,3600,550,550,550,400,700,400,700,550,550,550,400,700,400,700,450,550,550,400,700,400,700
2065,6,6,3,5400,4800,750,750,750,250,400,350,650,550,750,750,250,400,300,450,550,750,750,250,400,300,450
2066,6,7,4,6000,6000,450,450,450,300,500,300,500,450,450,450,300,500,300,500,450,450,450,300,500,300,500
2067,8,10,4,6000,4800,550,550,550,200,600,200,600,550,550,550,150,450,150,450,550,550,550,150,400,150,400
2068,9,7,4,6000,4800,400,400,400,150,450,150,450,400,400,400,150,450,150,450,400,400,400,150,400,150,400
2069,8,6,4,7200,4800,750,750,750,250,400,250,400,750,750,750,250,400,250,400,750,750,750,250,400,250,400
2070,6,10,3,6600,4200,500,500,500,200,550,200,550,500,500,500,200,550,200,550,500,500,500,200,450,200,450
2071,9,9,4,4200,6600,550,550,550,300,650,300,650,550,550,550,250,550,250,550,550,550,550,200,400,200,400
2072,8,10,3,3600,4800,550,550,550,300,650,300,650,550,550,550,150,400,150,400,400,400,400,150,400,150,400
2073,8,10,3,7200,6600,750,750,750,300,500,400,600,750,750,750,300,500,400,600,550,750,750,300,500,400,600
2074,10,10,4,6000,5400,400,400,400,300,750,300,750,400,400,400,300,750,300,750,400,400,400,300,750,300,750
2075,6,7,4,7200,6600,750,750,750,150,400,250,400,600,600,600,150,400,250,400,600,600,600,150,400,250,400
2076,7,7,4,6600,5400,400,400,400,150,400,150,400,400,400,400,150,400,150,400,400,400,400,150,400,150,400
2077,8,8,4,6600,5400,400,400,400,300,700,300,700,400,400,400,300,700,300,700,400,400,400,200,500,200,500
2078,8,9,5,6600,5400,700,700,700,400,700,400,700,700,700,700,150,450,400,700,700,700,700,150,400,400,700
2079,6,8,3,4800,6600,800,800,800,300,500,300,500,800,800,800,200,400,200,400,800,800,800,150,400,200,400
2080,7,6,3,4800,3600,600,750,800,250,400,250,400,600,750,800,150,400,250,400,500,500,800,150,400,250,400
2081,7,7,3,6600,6000,650,650,700,300,450,300,450,500,600,600,300,450,300,450,500,600,600,300,450,300,450
2082,6,9,4,3600,7200,700,700,700,350,650,350,650,700,700,700,150,400,350,650,650,650,650,150,400,350,650
2083,8,7,5,6000,4200,550,550,550,150,400,150,400,500,500,500,150,400,150,400,400,500,500,150,400,150,400
2084,7,10,5,6600,3600,800,800,800,350,750,350,750,800,800,800,250,400,250,400,750,750,800,250,400,250,400
2085,8,7,4,3600,4200,500,500,700,300,550,300,550,500,500,700,300,550,300,550,500,500,700,150,400,150,400
2086,10,6,5,3600,5400,450,450,450,350,650,350,650,400,400,400,350,650,350,650,400,400,400,350,650,350,650
2087,9,5,5,5400,7200,500,500,500,400,750,400,750,500,500,500,400,750,400,750,500,500,500,400,750,400,750
2088,10,6,3,6600,5400,750,750,750,150,400,300,550,750,750,750,150,400,300,550,750,750,750,150,400,300,550
2089,10,8,4,6000,4200,800,800,800,300,550,300,550,800,800,800,250,450,300,550,800,800,800,150,450,150,450
2090,7,5,3,6600,6600,600,600,600,300,450,300,450,600,600,600,300,450,300,450,600,600,600,300,450,300,450
2091,6,6,3,6600,3600,450,450,450,250,750,250,750,450,450,450,250,750,250,750,450,450,450,250,750,250,750
2092,9,8,5,6000,3600,400,400,400,300,600,300,600,400,400,400,300,600,300,600,400,400,400,300,600,300,600
2093,10,7,3,6600,3600,400,400,400,300,550,300,550,400,400,400,300,550,300,550,400,400,400,300,550,300,550
