case_id,N_st,n_x,n_y,l_x_mm,l_y_mm,C_G1_Corner_b,C_G1_Edge_b,C_G1_Interior_b,B_G1_Edge_b,B_G1_Edge_h,B_G1_Interior_b,B_G1_Interior_h,C_G2_Corner_b,C_G2_Edge_b,C_G2_Interior_b,B_G2_Edge_b,B_G2_Edge_h,B_G2_Interior_b,B_G2_Interior_h,C_G3_Corner_b,C_G3_Edge_b,C_G3_Interior_b,B_G3_Edge_b,B_G3_Edge_h,B_G3_Interior_b,B_G3_Interior_h
4000,6,8,3,6000,6000,550,550,550,150,450,150,450,550,550,550,150,400,150,400,550,550,550,150,400,150,400
4001,9,10,4,4800,4200,750,750,750,300,550,300,550,750,750,750,300,550,300,550,750,750,750,300,550,300,550
4002,10,6,5,6600,6600,650,650,650,250,550,250,550,650,650,650,250,550,250,550,650,650,650,250,550,250,550
4003,6,9,5,6600,3600,550,550,550,300,550,300,550,550,550,550,300,550,300,550,550,550,550,300,450,300,550
4004,8,7,5,6000,6600,400,400,800,400,700,400,700,400,400,800,400,700,400,700,400,400,800,150,450,150,450
4005,10,8,3,6600,7200,650,650,650,200,500,200,500,400,400,400,200,500,200,500,400,400,400,200,500,200,500
4006,9,5,5,4200,7200,800,800,800,300,500,300,500,800,800,800,150,450,150,450,800,800,800,150,450,150,450
4007,10,10,5,3600,5400,750,750,750,150,400,200,550,750,750,750,150,400,200,550,550,550,750,150,400,200,550
4008,6,6,5,4800,3600,800,800,800,300,650,300,650,800,800,800,150,400,150,400,500,500,800,150,400,150,400
4009,7,10,5,7200,5400,400,400,400,200,400,250,500,400,400,400,200,400,250,500,400,400,400,150,400,150,400
4010,8,5,3,4200,4800,750,750,750,200,600,200,600,750,750,750,150,400,150,400,750,750,750,150,400,150,400
4011,6,10,3,4200,3600,600,600,600,150,450,150,450,600,600,600,150,450,150,450,600,600,600,150,450,150,450
4012,9,9,5,7200,5400,500,600,600,200,450,200,450,500,600,600,200,450,200,450,500,600,600,200,450,200,450
4013,9,10,4,5400,4200,800,800,800,300,750,300,750,500,500,500,200,400,300,750,500,500,500,200,400,200,500
4014,9,9,4,4200,6000,500,500,800,300,650,300,650,500,500,800,300,650,300,650,500,500,700,200,500,200,500
4015,9,8,5,6000,5400,400,400,400,250,750,250,750,400,400,400,150,400,150,400,400,400,400,150,400,150,400
4016,7,9,4,4200,7200,500,500,700,200,600,250,650,450,450,600,200,600,250,650,450,450,600,200,600,250,650
4017,9,8,3,7200,5400,400,400,400,400,750,400,750,400,400,400,400,750,400,750,400,400,400,200,550,200,550
4018,6,6,4,5400,4800,450,450,450,300,550,300,550,450,450,450,150,450,200,550,450,450,450,150,450,200,550
4019,9,6,3,5400,6000,550,550,550,400,700,400,750,550,550,550,400,700,400,750,400,400,550,400,700,400,750
4020,6,9,4,6600,6000,700,700,700,250,750,250,750,700,700,700,150,400,150,400,700,700,700,150,400,150,400
4021,6,9,4,6000,5400,550,550,550,150,400,150,400,550,550,550,150,400,150,400,550,550,550,150,400,150,400
4022,8,10,3,4800,4200,700,700,700,350,600,350,600,700,700,700,300,450,350,600,700,700,700,300,450,350,600
4023,6,8,4,4200,7200,800,800,800,350,650,350,650,800,800,800,150,450,350,650,800,800,800,150,450,350,650
4024,8,10,5,4800,3600,500,550,550,350,750,350,750,450,450,450,350,750,350,750,450,450,450,150,400,150,400
4025,6,9,4,6600,4800,400,400,400,350,600,350,600,400,400,400,350,600,350,600,400,400,400,200,500,350,600
4026,7,9,4,4800,4200,550,550,600,150,400,150,400,550,550,600,150,400,150,400,550,550,600,150,400,150,400
4027,7,6,5,7200,4200,700,700,700,200,600,200,600,700,700,700,150,400,150,400,700,700,700,150,400,150,400
4028,9,6,3,4800,3600,700,700,700,200,400,250,600,700,700,700,200,400,250,600,700,700,700,200,400,250,600
4029,9,8,4,4800,4800,750,750,750,250,450,250,450,750,750,750,250,450,250,450,750,750,750,250,450,250,450
4030,8,10,5,7200,3600,600,750,750,300,650,300,650,600,650,750,300,650,300,650,600,650,750,300,650,300,650
4031,6,8,4,3600,6600,750,750,750,400,600,400,600,750,750,750,250,550,400,600,750,750,750,250,550,400,600
4032,6,5,4,7200,4200,550,550,550,300,800,300,800,550,550,550,300,800,300,800,550,550,550,300,800,300,800
