case_id,N_st,n_x,n_y,l_x_mm,l_y_mm,C_G1_Corner_b,C_G1_Edge_b,C_G1_Interior_b,B_G1_Edge_b,B_G1_Edge_h,B_G1_Interior_b,B_G1_Interior_h,C_G2_Corner_b,C_G2_Edge_b,C_G2_Interior_b,B_G2_Edge_b,B_G2_Edge_h,B_G2_Interior_b,B_G2_Interior_h,C_G3_Corner_b,C_G3_Edge_b,C_G3_Interior_b,B_G3_Edge_b,B_G3_Edge_h,B_G3_Interior_b,B_G3_Interior_h
1000,6,7,5,7200,4200,750,750,750,350,750,350,750,750,750,750,350,750,350,750,750,750,750,300,500,350,750
1001,7,8,3,3600,6000,400,400,400,150,400,250,600,400,400,400,150,400,250,600,400,400,400,150,400,250,600
1002,6,5,5,5400,7200,650,650,650,250,600,250,600,650,650,650,150,450,150,450,650,650,650,150,400,150,450
1003,7,10,3,7200,6600,500,500,500,250,400,250,400,500,500,500,250,400,250,400,500,500,500,250,400,250,400
1004,6,10,5,5400,4800,750,750,750,350,650,350,650,750,750,750,150,400,150,400,550,550,750,150,400,150,400
1005,7,9,3,7200,7200,500,550,550,400,600,400,600,500,550,550,400,600,400,600,450,450,550,400,600,400,600
1006,7,6,4,7200,5400,500,500,500,250,400,250,400,500,500,500,250,400,250,400,500,500,500,250,400,250,400
1007,7,6,3,3600,4800,750,750,750,200,550,400,650,750,750,750,150,450,400,650,750,750,750,150,450,400,650
1008,10,9,3,4200,6000,500,500,500,150,450,250,650,500,500,500,150,400,200,400,400,400,400,150,400,200,400
1009,8,8,3,3600,7200,650,650,650,400,600,400,600,650,650,650,400,600,400,600,650,650,650,200,400,200,400
1010,7,10,5,6000,6000,550,550,550,300,500,300,500,400,400,400,300,500,300,500,400,400,400,150,400,150,400
1011,10,10,5,5400,3600,700,700,700,200,500,200,500,400,700,700,200,500,200,500,400,700,700,150,400,150,400
1012,6,7,4,3600,3600,800,800,800,200,550,200,550,800,800,800,200,550,200,550,800,800,800,200,550,200,550
1013,10,10,5,6600,4200,600,600,600,350,700,350,700,600,600,600,350,700,350,700,600,600,600,350,700,350,700
1014,6,9,3,7200,7200,450,450,450,200,400,250,750,450,450,450,200,400,250,750,400,400,400,150,400,150,450
1015,6,10,3,4200,6600,400,450,450,350,750,350,750,400,450,450,350,750,350,750,400,450,450,350,750,350,750
1016,9,7,3,3600,6600,700,700,700,350,800,350,800,700,700,700,200,450,200,450,700,700,700,200,450,200,450
1017,9,5,4,4800,4800,450,450,450,350,600,350,600,450,450,450,350,600,350,600,450,450,450,350,600,350,600
1018,10,9,4,5400,6000,400,400,400,150,450,300,550,400,400,400,150,450,300,550,400,400,400,150,450,300,550
1019,7,5,4,6600,4800,600,600,600,250,550,250,550,600,600,600,250,550,250,550,400,400,600,250,550,250,550
1020,6,10,4,6000,3600,450,450,450,150,400,300,800,450,450,450,150,400,300,800,450,450,450,150,400,300,800
1021,10,8,5,6600,3600,700,700,700,300,450,300,450,700,700,700,300,450,300,450,700,700,700,200,400,300,450
1022,6,8,5,7200,3600,400,400,650,250,400,250,400,400,400,650,250,400,250,400,400,400,650,250,400,250,400
1023,9,7,3,6000,4200,450,450,450,350,700,350,700,450,450,450,200,500,350,700,400,400,400,200,500,300,500
1024,10,5,3,3600,5400,600,600,600,250,550,250,550,450,450,450,250,550,250,550,450,450,450,250,550,250,550
1025,6,8,3,6600,6600,600,600,600,350,550,350,550,600,600,600,250,450,350,550,600,600,600,250,450,350,550
1026,10,5,5,4200,6600,400,400,400,350,750,350,750,400,400,400,200,450,200,450,400,400,400,150,400,200,450
1027,7,6,5,4800,3600,400,450,450,200,400,200,400,400,450,450,200,400,200,400,400,450,450,200,400,200,400
1028,10,6,4,6000,3600,450,600,600,250,700,250,700,400,400,400,150,450,150,450,400,400,400,150,450,150,450
1029,7,7,5,4200,4800,700,700,700,200,600,200,600,700,700,700,200,600,200,600,700,700,700,200,600,200,600
1030,10,7,4,4200,4200,400,400,400,250,750,250,750,400,400,400,250,750,250,750,400,400,400,200,400,200,400
1031,7,7,3,5400,3600,400,400,400,300,650,300,650,400,400,400,300,650,300,650,400,400,400,300,650,300,650
1032,9,5,3,4800,4200,550,550,550,200,400,400,650,550,550,550,200,400,250,650,550,550,550,200,400,250,650
1033,7,8,4,4800,6000,650,650,650,350,700,350,700,650,650,650,300,450,350,700,650,650,650,300,450,350,700
1034,6,10,5,7200,3600,400,400,400,250,550,250,550,400,400,400,250,550,250,550,400,400,400,250,550,250,550
1035,8,9,5,3600,7200,400,400,450,250,600,250,600,400,400,450,250,600,250,600,400,400,450,150,450,200,550
1036,7,5,3,6000,7200,450,450,450,150,450,150,450,450,450,450,150,450,150,450,450,450,450,150,450,150,450
1037,10,7,3,3600,5400,550,550,550,150,400,200,600,550,550,550,150,400,200,550,550,550,550,150,400,200,550
1038,6,5,3,7200,5400,650,650,650,150,450,400,600,400,400,400,150,450,400,600,400,400,400,150,450,400,600
1039,10,10,5,3600,4800,400,650,650,300,750,300,750,400,600,600,300,750,300,750,400,600,600,300,750,300,750
1040,6,8,4,4200,3600,600,600,600,200,550,200,550,600,600,600,200,550,200,550,600,600,600,200,550,200,550
1041,10,9,4,4200,4800,500,500,600,250,700,400,700,500,500,600,250,700,400,700,500,500,600,250,700,400,700
1042,6,7,5,4800,6600,400,400,400,350,550,350,550,400,400,400,200,450,200,450,400,400,400,200,450,200,450
1043,8,8,4,3600,4800,800,800,800,300,550,300,550,800,800,800,300,550,300,550,550,550,550,300,550,300,550
1044,6,5,4,6600,6000,700,700,700,400,600,400,600,700,700,700,400,600,400,600,600,600,700,300,450,300,450
1045,8,6,4,4800,6600,700,700,700,350,700,350,700,700,700,700,200,450,350,700,650,650,650,150,450,150,450
1046,9,9,4,7200,6000,650,650,650,400,750,400,750,550,550,550,300,500,300,500,550,550,550,300,500,300,500
1047,6,10,5,3600,5400,750,750,750,250,600,250,600,750,750,750,250,600,250,600,500,500,750,250,600,250,600
1048,9,5,3,3600,4200,800,800,800,300,550,300,550,450,450,800,150,450,150,450,450,450,800,150,450,150,450
1049,9,10,3,6600,7200,800,800,800,300,500,300,500,800,800,800,150,400,150,400,800,800,800,150,400,150,400
1050,9,9,5,4800,6000,550,550,550,400,600,400,600,550,550,550,400,600,400,600,450,450,450,400,600,400,600
1051,7,10,5,6000,3600,800,800,800,350,800,350,800,800,800,800,350,800,350,800,800,800,800,350,800,350,800
1052,7,9,3,4200,3600,750,750,750,250,450,250,450,650,750,750,150,400,150,400,650,750,750,150,400,150,400
1053,7,10,3,4200,6000,400,400,400,200,600,200,600,400,400,400,200,600,200,600,400,400,400,200,450,200,600
1054,8,6,3,6000,4200,750,750,750,150,400,150,400,750,750,750,150,400,150,400,750,750,750,150,400,150,400
1055,10,9,5,6000,6000,400,400,400,250,550,250,550,400,400,400,250,550,250,550,400,400,400,250,550,250,550
1056,9,7,3,5400,5400,800,800,800,400,600,400,600,800,800,800,200,400,200,400,800,800,800,200,400,200,400
1057,7,7,4,3600,6000,450,450,450,300,450,300,450,450,450,450,300,450,300,450,450,450,450,200,450,200,450
